"","X","Classroom.ID","week","Usage.Week","Active.Users...Total","Minutes.per.Active.User","Badges.per.Active.User","Boosts.per.Tower.Completion","Tower.Alerts.per.Tower.Completion","Teacher.User.ID","teacher_number_classes","year","Grade.Level","MDR.School.ID","Students...Total","District.Rollup.ID","poverty","income","charter.school","school.account","zipcode","tch_min","User.Session","RD.elementary_schedule","RD.whole_group_fluency","RD.mission_overview","Guided.Practice.Completed","RD.small_group_lessons","Tower.Completed","Fluency.Completed","Number.Gym.Activity.Completed","RD.grade_level_overview","Tower.Stage.Failed","RD.optional_problem_sets","RD.student_notes_and_exit_tickets","Kindergarten.Activity.Completed","Tower.Struggled","RD.k_mission","RD.whole_group_word_problems","RD.assessments","RD.teaching_and_learning_approach","RD.optional_homework","RD.k_schedule","RD.curriculum_map","RD.assessments_answer_key","RD.pd_course_notes","RD.pd_course_guide","min_week","mean_act_st","Tsubj","st_login","tch_login","n_weeks","set","PCA1","PCA2","PCA3","FrobeniusNNDSVD1","FrobeniusNNDSVD2","FrobeniusNNDSVD3","FrobeniusNNDSVDA1","FrobeniusNNDSVDA2","FrobeniusNNDSVDA3","Kullback.Leibler1","Kullback.Leibler2","Kullback.Leibler3","Autoencoder1","Autoencoder2","Autoencoder3","state","FrobeniusNNDSVD1bin","FrobeniusNNDSVD2bin","FrobeniusNNDSVD3bin","FrobeniusNNDSVDA1bin","FrobeniusNNDSVDA2bin","FrobeniusNNDSVDA3bin","Kullback.Leibler1bin","Kullback.Leibler2bin","Kullback.Leibler3bin","row_n"
"11",200,3039,13,"2019-11-11",9,3.76120011569356,0.354222117629945,3.1,0.470003629245736,68760,3,2019,"4th",410182,15,410027,"75%+ (High)","$45K-47,999",0,1,71203,3.92197333628131,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,13.2692307692308,35,1,1,26,"train",-0.0949603676374666,-0.0775738570423982,0.115500832557399,0.0286477624915217,0,0.00809543563108371,0.0271268378190714,1.11163341288592e-59,0.00840087027150773,0.0179995003031347,4.79292782191893e-133,3.49395162996404e-41,0.0121947377920151,0.0223338752985001,0.140926375985146,1,1,0,1,1,0,1,1,0,1,11
"12",201,3039,14,"2019-11-18",14,4.17284762371004,0.639658596472038,4.3,0.587786664902119,68760,3,2019,"4th",410182,15,410027,"75%+ (High)","$45K-47,999",0,1,71203,4.05871738457895,1.94591014905531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,13.2692307692308,35,1,1,26,"train",0.10143387060602,-0.0994881562915615,-0.0524850906977351,0.0443406991648806,0,2.10272257577289e-06,0.0400490669947393,2.39812660966582e-13,0.000585577084631142,0.0303050374162668,3.9465833659114e-88,5.25082654194598e-50,-0.0541064515709877,-0.0539937168359756,0.0820367485284805,1,1,0,0,1,1,0,1,1,0,12
"13",202,3039,16,"2019-12-02",14,4.64053732982538,0.692888357469438,3.1,0.405465108108164,68760,3,2019,"4th",410182,15,410027,"75%+ (High)","$45K-47,999",0,1,71203,3.5055573969864,2.07944154167984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,13.2692307692308,35,1,1,26,"train",0.0665499606181486,-0.0815389503400781,-0.086670942151974,0.041323974058706,0.000180309512807538,0,0.0373862716172213,4.61336610970561e-10,4.45565212360377e-05,0.0290111140402702,2.31520483086313e-85,7.47571009330559e-52,-0.0506194606423378,-0.0488752573728561,0.102954044938087,2,1,1,0,1,1,0,1,1,0,13
"14",203,3039,17,"2019-12-09",15,3.97029191355212,0.452803411003319,3.1,0.405465108108164,68760,3,2019,"4th",410182,15,410027,"75%+ (High)","$45K-47,999",0,1,71203,0.832909122935104,1.6094379124341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,13.2692307692308,35,1,1,26,"train",-0.26485216322487,0.0203427091252556,-0.0988164421760267,0.0155956769050484,0.00152093503717442,0,0.0141686876696033,0.00135657483386747,2.66387420174371e-14,0.0123640006836722,1.07458054240905e-76,1.10174921353267e-61,0.00971195101737976,0.0330965518951416,0.319719970226288,2,0,1,0,0,1,0,0,1,0,14
"15",204,3039,18,"2019-12-16",15,4.2312037449393,0.620324220158326,4,0.587786664902119,68760,3,2019,"4th",410182,15,410027,"75%+ (High)","$45K-47,999",0,1,71203,3.8177123259569,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,13.2692307692308,35,1,1,26,"train",-0.0459978659043996,-0.079360016446127,0.0568721488351829,0.0326420393583436,0,0.00516941256659624,0.0302970732319068,5.89996866263273e-29,0.00535723848346169,0.0213006560745088,6.37655717424085e-102,3.2150523678198e-45,-0.00852805376052856,-9.57399606704712e-05,0.127495959401131,1,1,0,1,1,0,1,1,0,1,15
"16",205,3039,20,"2020-01-06",14,4.20618404397764,0.532778834292323,1.4,0.182321556793955,68760,3,2020,"4th",410182,15,410027,"75%+ (High)","$45K-47,999",0,1,71203,2.79116510781272,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,13.2692307692308,35,1,1,26,"train",-0.146923874088725,-0.0426817517724334,0.0274350043426242,0.0251437015650503,0,0.00305049277438931,0.0231970680044331,2.07866078678409e-24,0.00315553822851266,0.0165894213516108,1.05083542825088e-97,9.59911733110247e-47,0.0147209763526917,0.0279008001089096,0.19283752143383,2,1,0,1,1,0,1,1,0,1,16
"17",206,3039,21,"2020-01-13",15,4.81299703319041,0.639658596472038,2.6,0.405465108108164,68760,3,2020,"4th",410182,15,410027,"75%+ (High)","$45K-47,999",0,1,71203,2.19722457733622,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,13.2692307692308,35,1,1,26,"train",-0.163305415762163,-0.0253707963707397,-0.0290731959702958,0.024153717392962,0,0,0.021819528587222,3.1270943731603e-13,0.000277644275074826,0.0165452964688859,7.24720270664316e-88,3.61751135423907e-50,0.00971823930740356,0.0248030573129654,0.217590555548668,1,1,0,0,1,1,0,1,1,0,17
"18",207,3039,22,"2020-01-20",15,3.81990771652034,0.389682901137396,3.7,0.53062825106217,68760,3,2020,"4th",410182,15,410027,"75%+ (High)","$45K-47,999",0,1,71203,0.0953101798043249,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,13.2692307692308,35,1,1,26,"train",-0.471182552280321,0.0591518206366786,0.00576790038384802,0.000696186118554142,0,0.000196731940642032,0.000659225236456114,1.54767174465178e-60,0.000204154462990096,0.000437416438916023,4.79292782191894e-133,8.49085726817397e-43,0.0882939994335175,0.131416782736778,0.495124459266663,1,0,0,0,0,0,0,0,0,1,18
"19",208,3039,23,"2020-01-27",15,4.28496492183075,0.452803411003319,3.7,0.587786664902119,68760,3,2020,"4th",410182,15,410027,"75%+ (High)","$45K-47,999",0,1,71203,0.693147180559945,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,13.2692307692308,35,1,1,26,"train",-0.353192588039915,0.032279882203884,-0.0327275052632844,0.00946390417355188,0.000366462142667824,0,0.00858441634698399,7.99352470217662e-06,2.63647679894718e-08,0.00696078008364799,1.79178146204826e-81,2.81144421748182e-55,0.0516060590744019,0.0834711641073227,0.391464054584503,1,0,1,0,0,1,0,0,1,0,19
"20",209,3039,24,"2020-02-03",15,3.7864597824528,0.315533363919289,5.5,0.832909122935104,68760,3,2020,"4th",410182,15,410027,"75%+ (High)","$45K-47,999",0,1,71203,0.916290731874155,1.6094379124341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,13.2692307692308,35,1,1,26,"train",-0.25665441761954,0.0173635059599947,-0.0964254011922538,0.0162540147373553,0.00144218176352379,0,0.0147614371122315,0.0012701450637677,3.13961705448992e-13,0.0127466721520094,2.61939301652813e-77,1.1745376039437e-60,0.009189173579216,0.0319410860538483,0.312617421150208,1,0,1,0,0,1,0,0,1,0,20
