Classroom ID,Teacher User ID
789602,10935617
395793,5396652
629635,5707270
577209,2266954
584184,2267168
665375,701777
352765,4182867
779197,10935774
31804,620102
582951,4035873
709897,10047473
544768,7790031
373607,11038242
641990,7561826
314294,186437
799014,10936122
798819,10935704
585806,7915425
603735,5051573
522675,7487173
594954,8148103
732867,10355425
266758,2300610
488332,6952182
738305,10423087
594124,5728549
778320,10935734
458659,2521850
638243,8856635
779135,10935142
789964,10935753
421896,4315203
576366,6671768
632870,1227731
723062,10233957
441615,6170785
407963,5591757
612273,1015866
577301,4808126
408342,954036
769383,10863031
757698,123080
450811,6352940
58332,197292
802106,10191339
179445,1195158
198930,2798433
642543,7879502
607443,5771722
583558,4819074
428240,3153250
584012,4326874
702659,5492487
200477,696122
333746,4748895
302185,4324459
585945,7915410
585803,7915462
582952,4035828
441024,6164862
58538,33808
688086,8012902
242951,3478110
505574,7215393
414312,5727202
798849,10936396
790196,10935874
573535,2433371
587306,8120401
625836,4902522
371004,4779308
384172,1360870
579898,4819102
587264,8120333
707956,10018523
34849,210153
798972,10935291
590727,8148768
760225,10737436
612711,5200476
38442,702841
369700,2405721
649576,8941382
856759,11840431
623659,8611444
755545,10668184
789578,10935243
676255,9266903
625286,2699716
623098,5845664
546650,7455615
726225,8892242
581714,4819294
544416,2525379
757597,10699967
770863,1996116
3250,50131
282776,4062356
571852,8025016
618455,4671156
529912,7590358
773780,10925158
617742,8510735
646904,7977763
198961,2799410
798098,11137252
777977,10936164
621468,8565062
714013,2360657
702389,5480497
735051,10380802
638541,8863754
586934,2275594
507745,7023616
579499,7406227
593878,2267249
587455,5879259
357867,1879389
790055,10936428
381765,4654817
593954,5542107
181977,2528024
464292,3517393
357919,4861700
728525,10300191
393440,5339690
585353,3978253
702679,2539455
493477,4715587
579779,9992307
597187,3442000
789745,10936597
11107,165711
612651,8435477
798948,10935426
594738,8202014
600608,2481604
427931,5926744
714276,10112344
791930,11092213
400699,3743788
664460,9281869
592946,8183219
784255,11016006
791947,11092237
726045,2223314
587173,8120305
600592,743681
719509,10178453
554462,2250109
777674,10936634
238653,3417513
598448,4963140
603313,7798221
291500,3974534
807775,11286685
714230,10111702
632212,954036
711662,10075376
594637,7933924
66218,69990
690514,919693
188716,1782340
630708,8667719
863562,11904899
808961,11302238
600583,743685
340431,26197
789257,11078039
352773,4169502
617225,8500946
712470,324551
684502,9649977
769404,10856431
630056,5278528
200296,2828295
789893,10935020
750242,2219866
202995,2864894
444794,6235143
437367,5506339
116042,1855716
753327,4819370
594103,8193430
587291,8120294
789868,10936335
748395,6249069
777547,10935517
557708,3632986
186535,1938061
775937,10935665
463462,4436937
583016,4035967
660907,9218508
407798,5588118
865657,11922234
580695,4819139
582458,8025649
407774,35996
709874,10047180
584181,2377693
798779,10934959
625104,8377255
227324,3244830
379392,4793436
619549,7304208
431614,2927862
734258,1218919
537554,7696499
779512,10935874
492621,7021075
583109,4035888
592630,8132261
407409,1692870
583516,4819244
753281,4892246
750569,8164870
595876,4819077
662128,9228916
261380,3762995
718126,10157618
791970,11092237
744652,10517280
649192,9002194
303283,4262863
619587,2352912
111707,700673
585767,7915441
346250,4115360
383792,4777286
632605,1137618
789877,10935790
396495,165763
661116,3244830
799563,9363152
693975,9806166
280816,4035228
119864,672826
798874,10935921
580291,4819245
289964,4141618
740595,5178523
465904,2418433
483765,5164693
694532,1317966
371179,5009100
518549,7346289
626252,6376944
713478,10103738
510660,7309018
449522,239625
701524,4974859
614540,8458558
600597,7436959
385623,4963839
709520,7712061
512978,7342883
414206,4158554
